country,variable,pp_stat_const,pp_pvalue_const,pp_stat_trend,pp_pvalue_trend,pp_stat_none,pp_pvalue_none,lags,nobs
Indonesia,reserves_moi,-3.3742372689985216,0.011869107797614263,-3.54894067340177,0.03443853718295087,0.2642233397399535,0.7650442642638449,9,30
Malaysia,reserves_moi,-2.0943291619719906,0.24680097968533798,-1.5197343332224937,0.8222809062001863,-0.07043223880644023,0.6603604117191825,9,30
Filipina,reserves_moi,-1.7375354469008881,0.4118841703345215,-1.393920711210579,0.8626884271201412,0.03061361700896606,0.694370288622338,9,30
Singapura,reserves_moi,-3.469276907955148,0.0088120885070006,-4.2484814241650275,0.0037779621358723404,-0.6501090681302438,0.43361084171164993,9,30
Thailand,reserves_moi,-2.1663648998545986,0.2186786815132018,-2.522830998125577,0.31664319942493097,0.24395151406360327,0.7593609856902274,9,30
